#XYRS data for D:/Dropbox/Eagle/Projects/U01/NN2022/IMU/IMU_Adapter/NN22_IMU_Adapter01_s00.brd.
#Board Size is 2500.000000 x 1300.000000.
#
#Placement Data:
#Designator	X-Loc	Y-Loc	Rotation	Side	Type	X-Size	Y-Size	Value	Footprint	Populate	MPN
FID8	1635.00	485.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
J1	250.00	650.00	0	1	1	270.00	630.00	M13X2_0.050_SHF	M13X2_0.050_SHF	1	
J2	2313.86	650.00	90	1	1	1194.88	299.21	M20X2_HARFLEX_M	M20X2_HARFLEX_M	1	
J3	1380.00	1055.00	90	2	1	232.00	180.00	M04X2_0.050_SMD_NO_CREAM	M04X2_0.050_SMD_NO_CREAM	1	
J4	820.00	290.00	90	1	1	232.00	180.00	M04X2_0.050_SMD_NO_CREAM	M04X2_0.050_SMD_NO_CREAM	1	
J5	1540.00	1070.75	180	1	1	228.35	218.50	M03X1_JST_SH_RA	M03X1_JST_SH_SM_RA	1	
J6	1770.00	211.67	0	1	2	322.83	164.37	USB-MICRO	USB-MICRO	1	
LED1	2050.00	860.00	0	1	1	31.50	90.55		LED-0603	1	
LED2	2105.00	860.00	0	1	1	31.50	90.55		LED-0603	1	
R1	2040.00	750.00	270	1	1	62.99	23.62	1.2k	0402-RES	1	
R2	2080.00	750.00	270	1	1	62.99	23.62	1.2k	0402-RES	1	
R3	1400.00	880.00	0	1	1	62.99	23.62	10	0402-RES	1	
R4	1400.00	780.00	180	1	1	62.99	23.62	10	0402-RES	1	
R5	1400.00	830.00	0	1	1	62.99	23.62	10	0402-RES	1	
R6	1400.00	730.00	180	1	1	62.99	23.62	10	0402-RES	1	
R7	1400.00	630.00	0	1	1	62.99	23.62	10	0402-RES	1	
R8	1400.00	680.00	180	1	1	62.99	23.62	10	0402-RES	1	
R9	1400.00	580.00	0	1	1	62.99	23.62	10	0402-RES	1	
R10	1400.00	530.00	180	1	1	62.99	23.62	1.2k	0402-RES	1	
R11	1290.00	165.00	180	1	1	82.68	35.43	DNP	0603-RES	1	
R12	785.00	1040.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R13	1290.00	100.00	180	1	1	82.68	35.43	DNP	0603-RES	1	
R14	1290.00	230.00	180	1	1	82.68	35.43	DNP	0603-RES	1	
R15	1545.00	500.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R16	2060.00	370.00	180	1	1	62.99	23.62	1.2k	0402-RES	1	
R17	2060.00	410.00	0	1	1	62.99	23.62	100k	0402-RES	1	
R18	2120.00	750.00	270	1	1	62.99	23.62	100k	0402-RES	1	
R19	875.00	1040.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R20	830.00	1040.00	90	1	1	62.99	23.62	82k	0402-RES	1	
R21	1772.00	426.00	270	1	1	62.99	23.62	27	0402-RES	1	
R22	1735.00	426.00	270	1	1	62.99	23.62	27	0402-RES	1	
R23	1640.00	410.00	90	1	1	62.99	23.62	33	0402-RES	1	
R24	1720.00	950.00	90	1	1	62.99	23.62	1.2k	0402-RES	1	
R25	1350.00	1110.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R26	1300.00	1110.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R27	1620.00	900.00	180	1	1	62.99	23.62	27	0402-RES	1	
R28	1620.00	860.00	180	1	1	62.99	23.62	27	0402-RES	1	
S1	2060.00	220.00	90	1	1	196.85	102.36	SWITCH-MOMENTARY-2SMD-3	TACTILE_SWITCH_SMD-3	1	
TP1	1760.00	1180.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP2	1250.00	400.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP3	470.00	1180.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP4	1745.00	855.00	135	1	1	40.00	20.00	TESTPOINTPADSMALL	TESTPAD_SMALL	1	
TP5	1480.00	270.00	0	1	2	43.31	43.31	TESTPOINT1X01	1X01	1	
U1	1800.00	650.00	180	1	1	305.12	305.12	RP2040	QFN-56_EP	1	
U2	2010.00	1145.00	180	2	1	143.70	70.87	MCP1755_DFN	DFN8_2X3MM	1	
U3	1890.00	390.00	180	1	1	143.70	70.87	W25Q_USON	USON8L-2X3MM	1	
U4	840.00	1160.00	180	1	1	149.61	96.46	AP2265X_SOT	SOT23-6	1	
U5	1190.00	1060.00	270	1	1	115.35	95.67	ISM330DHCX	LGA14-L	1	
X1	1810.00	970.00	270	1	1	141.73	114.17	CRYSTAL-3.2-2.5	CRYSTAL-3.2-2.5	1	
